data,confirmados,ativos,recuperados,obitos,novos
17/03/2020,0,,,0,
18/03/2020,1,,,0,1.0
19/03/2020,2,,,0,1.0
20/03/2020,2,,,0,0.0
21/03/2020,3,,,0,1.0
22/03/2020,3,,,0,0.0
23/03/2020,4,,,0,1.0
24/03/2020,4,,,0,0.0
25/03/2020,5,,,0,1.0
26/03/2020,5,,,2,0.0
27/03/2020,9,,,2,4.0
29/03/2020,12,,,2,3.0
30/03/2020,16,,,2,4.0
31/03/2020,16,,,2,0.0
01/04/2020,19,,,2,3.0
02/04/2020,22,,,2,3.0
03/04/2020,25,,,2,3.0
04/04/2020,31,,,2,6.0
05/04/2020,33,,,2,2.0
06/04/2020,38,,,2,5.0
07/04/2020,39,,,2,1.0
08/04/2020,42,,,2,3.0
09/04/2020,44,,,3,2.0
10/04/2020,45,,,4,1.0
11/04/2020,46,,,4,1.0
12/04/2020,47,,,4,1.0
13/04/2020,49,,,5,2.0
14/04/2020,50,13.0,32.0,5,1.0
15/04/2020,51,12.0,34.0,5,1.0
16/04/2020,51,6.0,40.0,5,0.0
17/04/2020,52,7.0,40.0,5,1.0
18/04/2020,52,7.0,40.0,5,0.0
19/04/2020,53,6.0,42.0,5,1.0
20/04/2020,54,6.0,43.0,5,1.0
21/04/2020,54,6.0,43.0,5,0.0
22/04/2020,57,9.0,43.0,5,3.0
23/04/2020,61,10.0,46.0,5,4.0
24/04/2020,64,12.0,47.0,5,3.0
25/04/2020,65,12.0,48.0,5,1.0
26/04/2020,71,16.0,50.0,5,6.0
27/04/2020,71,15.0,51.0,5,0.0
28/04/2020,75,16.0,54.0,5,4.0
29/04/2020,79,18.0,56.0,5,4.0
30/04/2020,87,26.0,56.0,5,8.0
01/05/2020,95,34.0,56.0,5,8.0
02/05/2020,99,38.0,56.0,5,4.0
03/05/2020,101,35.0,61.0,5,2.0
04/05/2020,101,34.0,62.0,5,0.0
05/05/2020,102,26.0,71.0,5,1.0
06/05/2020,106,27.0,74.0,5,4.0
07/05/2020,110,25.0,79.0,6,4.0
08/05/2020,110,21.0,83.0,6,0.0
09/05/2020,111,22.0,83.0,6,1.0
10/05/2020,112,21.0,85.0,6,1.0
11/05/2020,114,22.0,86.0,6,2.0
12/05/2020,119,24.0,89.0,6,5.0
13/05/2020,124,22.0,96.0,6,5.0
14/05/2020,129,27.0,96.0,6,5.0
15/05/2020,132,29.0,97.0,6,3.0
16/05/2020,152,49.0,97.0,6,20.0
17/05/2020,160,57.0,97.0,6,8.0
18/05/2020,183,74.0,103.0,6,23.0
19/05/2020,189,80.0,103.0,6,6.0
20/05/2020,208,94.0,108.0,6,19.0
21/05/2020,213,99.0,108.0,6,5.0
22/05/2020,236,119.0,111.0,6,23.0
23/05/2020,250,125.0,119.0,6,14.0
